time,[AB42_O1_ISF],[AB42_O25_ISF],[IDE_activity_ISF],[AB42_O2_ISF],[AB42_O3_ISF],[AB42_O4_ISF],[AB42_O5_ISF],[AB42_O6_ISF],[AB42_O7_ISF],[AB42_O8_ISF],[AB42_O9_ISF],[AB42_O10_ISF],[AB42_O11_ISF],[AB42_O12_ISF],[AB42_O13_ISF],[AB42_O14_ISF],[AB42_O15_ISF],[AB42_O16_ISF],[AB42_O17_ISF],[AB42_O18_ISF],[AB42_O19_ISF],[AB42_O20_ISF],[AB42_O21_ISF],[AB42_O22_ISF],[AB42_O23_ISF],[AB42_O24_ISF]
61525.083612040136,2.927013988725458,0.0013465839530420875,217.4628800391946,6.672580830394874e-05,8.889146305363192e-05,0.00029431881108722257,0.00026843851249980255,0.0012985539046952033,0.0006280416222802186,0.00030366695941333883,0.0001475065997549712,0.00013219813330600917,0.00012194565363711915,0.0002704240885935344,0.00022751522486486479,0.00019133626691815336,0.00016084738631390086,0.0001353638140989569,0.00012368267976704535,0.00011310050700450275,0.00010937554363665548,0.0001057220599511047,0.00010213693264975406,9.858895391845001e-05,9.384012839700968e-05,3.666017806899753e-05
64454.84949832776,2.9388073033984026,0.0014790152751049486,215.62070349888043,6.7264360511408e-05,8.961840854802399e-05,0.00029683973969256953,0.0002708389810878713,0.001312903909829457,0.0006363099131865644,0.0003083087070761236,0.00015007249426591082,0.00013455921167456703,0.00012430733918107118,0.00028179707895396324,0.0002373280426730527,0.00019980279800625267,0.00016815222527489558,0.00014167420077460386,0.00012957138246021254,0.00011860240451294385,0.00011482059305931646,0.00011110973469575223,0.00010746683696561413,0.000103860058647171,9.89888046980745e-05,3.884534807537852e-05
67384.61538461539,2.950645558020613,0.0016176723223547097,213.79413244675334,6.780714069658227e-05,9.035110071800245e-05,0.0002993811598548053,0.00027325949213527853,0.0013273995511391674,0.0006446778419399747,0.0003130155083157572,0.0001526794503378454,0.00013695883504847152,0.00012670427024618058,0.00029323415237576486,0.0002471953170094276,0.00020831355493872852,0.00017549174674481925,0.00014801129787048384,0.00013547886943575198,0.00012411781525105973,0.0001202772370490565,0.00011650932332015313,0.00011281026814280857,0.00010914631107520867,0.00010415373307939271,4.1053749987331416e-05
70314.38127090302,2.9625289031675166,0.0017626199239388935,211.98303468524313,6.835418059755348e-05,9.108958284068692e-05,0.0003019432283752787,0.0002757002010000021,0.0013420421611694661,0.0006531464830623945,0.0003177881802131223,0.00015532805990928995,0.00013939758306143258,0.000129137245117314,0.0003047376224306581,0.00025712622476637683,0.00021688284362394645,0.0001828832982039619,0.00015439316195024985,0.00014142306122762874,0.00012966203661999136,0.0001257568043598857,0.00012192707505849065,0.00011816875872016596,0.00011444625958155086,0.00010933297524744915,4.328489165432734e-05
73244.14715719064,2.9744574910988097,0.0019139330163752519,210.18727913665614,6.890551228755909e-05,9.183389868555283e-05,0.0003045261034545253,0.0002781612645771909,0.0013568330837435832,0.0006617169203359532,0.0003226275481989576,0.00015801892195425483,0.00014187603010082467,0.000131606737174528,0.00031630878036825353,0.0002671195853138319,0.00022551086097462382,0.00019032997133771652,0.00016082606294245649,0.00014741393038122708,0.00013524785931298412,0.000131274108925627,0.00012737767307172026,0.00012355474512483215,0.00011976863082261141,0.00011453119474537042,4.5540688850157675e-05
76173.91304347827,2.9864314733480533,0.0020716895200374196,208.4067358336866,6.94611679737919e-05,9.258409221987789e-05,0.0003071299441327154,0.0002806428407327712,0.0013717736749356663,0.0006703902494895179,0.00032753444759756663,0.00016075264327847225,0.00014439476261029165,0.00013411360809119992,0.00032796668341800915,0.0002771881460882603,0.00023420479050305967,0.00019783531272745387,0.00016731192264626886,0.00015345347747781673,0.00014087864890155542,0.000136835127251211,0.00013287003838752232,0.00012897958840441936,0.00012512601545403595,0.000119760556437494,4.782553806495485e-05
79103.67892976588,2.9984510017175037,0.0022359738539421145,206.64127591001002,7.00211800829316e-05,9.334020751370183e-05,0.0003097549109572634,0.00028314508772024757,0.0013868652967132743,0.0006791675733589485,0.00033250972151780263,0.0001635298381139818,0.00014695438315992827,0.00013665895239968863,0.0003397323612749279,0.00028735090064520237,0.0002429803015757642,0.0002054112546133683,0.0001738588889586861,0.0001595469488110815,0.00014655755311383133,0.00014244220076337278,0.0001384070102477947,0.0001344477980180961,0.00013052530179401715,0.00012503017400275346,5.014358045701811e-05
82033.44481605351,3.0105162305224153,0.0024068815171936855,204.89077159095703,7.058558145541506e-05,9.410228958710796e-05,0.00031240116539273,0.0002856681668345542,0.0014021093304664863,0.0006880500084691609,0.00033755422306316473,0.0001663511282192397,0.0001495554984491354,0.00013924362610244256,0.00035161632940909637,0.00029761962848904574,0.00025185014098991866,0.00021307023601209156,0.00018047844066240007,0.00016570495273231115,0.00015229344143152638,0.00014810231535118603,0.00014399362640696422,0.0001399629725676189,0.00013596956864032553,0.00013034358302149262,5.2497061163173114e-05
84963.21070234114,3.0226273095156553,0.002584517603648498,203.15509618426702,7.11544047375906e-05,9.487038332327735e-05,0.0003150688680448165,0.00028821223881123206,0.0014175071581677748,0.0006970386792827802,0.0003426688148740888,0.0001692171438062094,0.00015219871624243286,0.00014186830546587112,0.00036362594547938843,0.00030800069425126456,0.0002608205256283213,0.0002208191580547333,0.00018717809613672375,0.00017193606856083998,0.0001580955282515148,0.00015382515912999972,0.00014963913294891427,0.00014553312718882714,0.0001414651903023483,0.0001357055749845448,5.488809963681353e-05
87892.97658862876,3.034784395935446,0.0027689935391918717,201.43412407091745,7.172768342102084e-05,9.56445323595181e-05,0.0003177581891095122,0.00029077746281263656,0.001433060181179859,0.0007061347193571305,0.00034785436597231656,0.00017212852102287522,0.0001548846522252312,0.0001445338057325117,0.00037577458025862093,0.00031850390093989597,0.0002698985967808489,0.00022866349027941978,0.00019396238797484284,0.00017824505516059977,0.00016396926971644216,0.00015961749921318145,0.0001553515648834323,0.00015116715879415378,0.00014702123612218523,0.00014112457104683957,5.732018174072116e-05
